
  Id     Duration CommandLine
  --     -------- -----------
   1        0.190 try { . "c:\Program Files\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1" } catch {}
   2        0.643 & C:/py_venv/JobSearch/Scripts/Activate.ps1
   3        0.012 ls .\data\master\
   4        0.110 python scripts/profile_export.py
   5       13.377 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
   6        0.033 ls .\data\jobs\f3ac1f09-bb1c-4511-98fa-70427c5f1e4f\
   7        0.270 clear
   8       17.943 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
   9        0.010 clear
  10       17.297 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
  11        0.008 clear
  12        0.567 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
  13        0.055 type .\scripts\score_job.py
  14        0.010 clear
  15        0.564 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
  16       10.951 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
  17        0.232 clear
  18       16.176 python scripts/score_job.py intake/00001.Collective_Health.02052026.1328.md
  19        6.542 gitq
  20        0.233 clear -v mkdir user_guide\v0
  21        0.073 mkdir -p user_guide\v0
  22        0.023 mkdir -p user_guide\v0\script_guides
  23        4.008 code user_guide/v0/README.md
  24        3.747 code user_guide/v0/script_guides/profile_source_of_truth.md
  25        0.126 python scripts/job_decision.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --accept --reason "Strong 85% match; Plano location; excellent SQL/Python/…
  26        3.774 code user_guide/v0/script_guides/score_job.md
  27        4.023 code user_guide/v0/script_guides/job_Decision.md
  28        2.833 gitq
  29        0.795 python scripts/tailor_job_data.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  30        3.765 code user_guide/v0/script_guides/tailor_job_data.md
  31        4.080 code scripts/resume_intermediate.py
  32        3.799 code scripts/resume_generation.py
  33        0.008 clear
  34        0.579 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  35        0.387 cleaqr
  36        0.008 clear
  37       21.753 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  38        0.008 clear
  39        0.585 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  40        0.260 clear
  41       20.767 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  42        0.009 clear
  43        0.055 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  44     1:19.524 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  45        0.008 clear
  46       57.662 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  47        0.095 notepad++.exe data\jobs\28601739-4a44-4f86-8b08-bf8870a42081\generated\resume_intermediate_v1.json
  48        0.376 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  49        0.241 clear
  50        0.148 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  51        0.009 clear
  52        0.226 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  53        0.232 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --trim
  54        0.236 clear
  55        0.212 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --trim
  56        0.231 clear
  57        0.205 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --trim
  58        0.244 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  59        0.234 clear
  60       51.094 python scripts/resume_intermediate.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  61        0.442 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  62        0.197 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --trim
  63        0.231 clear
  64        0.221 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --trim
  65        0.217 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1
  66        0.234 clear
  67        0.302 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --all
  68        0.251 clear
  69        0.336 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --all
  70        0.250 clear
  71        0.299 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --all
  72        0.517 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --all
  73        0.232 clear
  74        0.290 python scripts/resume_generation.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081 --version v1 --all
  75        0.259 history
  76        3.793 code user_guide/v0/script_guides/resume_Intermediate.md
  77        0.266 clear
  78        0.568 python .\scripts\tailor_job_data.py --uuid 96b16121-8608-405d-9553-af86fdbf939c
  79        0.538 python .\scripts\tailor_job_data.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081
  80        0.009 clear
  81        0.543 python .\scripts\tailor_job_data.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081
  82        0.270 clear
  83        0.578 python .\scripts\tailor_job_data.py --uuid 28601739-4a44-4f86-8b08-bf8870a42081
